REGISTRATION DATE,NAME,ADDL CO INFO,ADDRESS 1,ADDRESS 2,CITY,STATE,ZIP
12/31/1990,ARIZONA DEPT OF CORRECTIONS,PERRYVILLE COMPLEX,CANINE UNIT,2014 N CITRUS ROAD,GOODYEAR,AZ,85395
,ADLERHORST INTERNATIONAL INC,,3951 VERNON AVENUE,,JURUPA VALLEY,CA,92509
5/15/1991,MONTGOMERY COUNTY,CORRECTIONAL FACILITY,(B6),60 EAGLEVILLE ROAD,EAGLEVILLE,PA,19403
3/1/1991,ARIZONA DEPT OF CORRECTIONS,,1601 W. JEFFERSON,,PHOENIX,AZ,85007
,(B6),,TEMPLE UNIV SCHOOL OF MEDICINE,3500 N BROAD STREET,PHILADELPHIA,PA,19140
,ALLEGHENY COUNTY POLICE,NARCOTIC DETECTION K-9 UNIT,PITTSBURGH INTERNATIONAL AIRPORT,1 COMMERCIAL ARRIVALS,PITTSBURGH,PA,15231
,28 SECURITY FORCES SQUADRON,,"2740 EAKER DRIVE, SUITE 324",,ELLSWORTH AFB,SD,57706
2/21/1990,ARIZONA DEPT OF CORRECTIONS,DOUGLAS COMPLEX -CANINE UNIT,PO DRAWER 3867,6911 N. BDI BLVD.,DOUGLAS,AZ,85607
,ALTAMONTE SPRINGS POLICE DEPT,ATTN: (B6),225 NEWBURYPORT AVENUE,,ALTAMONTE SPRINGS,FL,32701
2/14/1989,"ANNE BATES LEACH EYE HOSPITAL,ANNE BATES LEACH EYE HOSPITAL",,ATTN PHARMACY DEPARTMENT,900 NW 17TH ST,MIAMI,FL,33136
6/26/1991,ALAMOSA SHERIFF'S DEPARTMENT,,(B6),1315 17TH STREET,ALAMOSA,CO,81101
3/2/1989,(B6),ANESTHESIA C/O PHARMACY DEPT,U OF I HOSPITALS AND CLINICS,"200 HAWKINS DRIVE, RCP RM 6073-1",IOWA CITY,IA,52242
1/23/1986,MAKOR DETECTION DOGS,MAKOR K9 INTERNATIONAL LLC,(B6),3078 ENCANTO DRIVE,NAPA,CA,94558
5/26/1988,BOCA RATON POLICE DEPARTMENT,,100 NW 2ND AVENUE,,BOCA RATON,FL,33432
1/8/1990,BAKERSFIELD POLICE DEPARTMENT,CANINE UNIT,P.O.BOX 59,1601 TRUXTUN AVENUE,BAKERSFIELD,CA,93302
6/11/1987,BALDWIN PARK UNIFIED SCH DIST,,SCHOOL POLICE DEPARTMENT,3699 NORTH HOLLY AVENUE,BALDWIN PARK,CA,91706
8/1/1990,BONNEVILLE COUNTY SHERIFF,,605 NORTH CAPITAL,,IDAHO FALLS,ID,83402
,COMMANDING OFFICE,NAVAL STATION (CODE N50 MWD),MILITARY WORKING DOG SECTION,1025 QUINCY AVE STE 250,PEARL HARBOR,HI,96860
5/25/1988,BEHAVIORAL PHARMACOLOGY (B6),DEPT OF PSYCHIATRY ROOM 2714,JOHNS HOPKINS BAYVIEW MED CAMP,5510 NATHAN SHOCK DRIVE,BALTIMORE,MD,21224
,"DEPT OF BIOCHEMISTRY,UNIV OF MASS MEDICAL CENTER",(B6),364 PLANTATION STREET,,WORCESTER,MA,01605
