"name","address","city","state","ZIP","notes","longitude","latitude"
"Adams County CI","5-75 Hobo Fork Rd","Natchez","MS",39120,"",-91.21854,31.55535
"Alderson FPC","Glen Ray Rd","Alderson","WV",24910,"",-80.65845,37.72528
"Aliceville FCI","8301-8599 Columbus Rd","Carrollton","AL",35447,"",-88.16696,33.14406
"Allenwood FCC","Main Access Rd","Allenwood","PA",17810,"",-76.9123006,41.1284557
"Ashland FCI","573-805 Summitt Rd","Ashland","KY",41102,"",-82.7013445,38.4362619
"Atlanta RRM","715-731 Georgia 42 Spur","Atlanta","GA",30315,"",-84.3639064,33.7118817
"Atlanta USP","601 McDonough Blvd SE","Atlanta","GA",30315,"",-84.371153,33.711463
"Atwater USP","1 Federal Way","Atwater","CA",95301,"",-120.559094,37.3830994
"Baltimore RRM","2701 Technology Dr","Annapolis Junction","MD",20701,"",-76.776849,39.1202723
"Bastrop FCI","1341 Hwy 95 N","Bastrop","TX",78602,"",-97.3074639,30.192915
"Beaumont FCC","3886 Knauth Rd","Beaumont","TX",77705,"",-94.0778589,29.9635234
"Beckley FCI","702 Industrial Dr","Beaver","WV",25813,"",-81.1255574,37.8082921
"Bennettsville FCI","696 County Road 482","Bennettsville","SC",29512,"",-79.7246075,34.6738763
"Berlin FCI","1 Success Loop Rd","Berlin","NH",3570,"",-71.1376119,44.5225497
"Big Sandy USP","Honeybranch Industrial Park Rd","Inez","KY",41224,"",-82.5366783,37.8424614
"Big Spring CI","3601-3649 Rickabaugh Dr","Big Spring","TX",79720,"",-101.5283006,32.2263435
"Big Spring FCI","3711 Wright Ave","Big Spring","TX",79720,"",-101.5074921,32.2212381
"Brooklyn MDC","80-100 29th St","Brooklyn","NY",11232,"",-74.0035683,40.660221
"Bryan FPC","1100-1120 Ursuline Ave","Bryan","TX",77803,"",-96.3613844,30.6760107
"Butner FCC","2 Old 75 Hwy","Butner","NC",27509,"",-78.7994492,36.1382126
"Canaan USP","3057A Easton Turnpike","Waymart","PA",18472,"",-75.4083431,41.567631
"Carswell FMC","1719 Meandering Rd","Fort Worth","TX",76127,"",-97.4197197,32.7853804
"Central Office HQ","320 1st St NW","Washington","DC",20534,"",-77.0122464,38.893824
"Chicago MCC","71 W Van Buren St","Chicago","IL",60605,"",-87.6301852,41.876665
"Chicago RRM","204 W Adams St","Chicago","IL",60606,"",-87.6341254,41.879379
"Cibola County CI","1801-2199 W Santa Fe Ave","Grants","NM",87020,"",-107.874949,35.1591263
"Cincinnati RRM","53-99 U.S. 22","Cincinnati","OH",45202,"",-84.5123667,39.1038571
"Coleman FCC","5501-5525 E C 470","Sumterville","FL",33585,"",-82.0135349,28.755825
"Cumberland FCI","14600 Burbridge Rd SE","Cumberland","MD",21502,"",-78.7541413,39.5956029
"D. Ray James CI","3262 Georgia 252","Folkston","GA",31537,"",-81.9817601,30.8731245
"Dallas RRM","4211 Cedar Springs Rd","Dallas","TX",75219,"",-96.8138409,32.8126701
"Danbury FCI","48 Pembroke Rd","Danbury","CT",6811,"",-73.4732366,41.4406916
"Detroit RRM","4276-4542 Arkona Rd","Milan","MI",48160,"",-83.669579,42.098907
"Devens FMC","Patton Rd","Devens","MA",1434,"",-71.6262782,42.5287963
"Dublin FCI","5344-5348 Broder Blvd","Dublin","CA",94568,"",-121.8879676,37.7159318
"Duluth FPC","4445-4471 Ralston Dr","Hermantown","MN",55811,"",-92.1958948,46.8342697
"Eden CI","700 E Broadway St","Eden","TX",76837,"",-99.8392224,31.2163066
"Edgefield FCI","423-427 Gary Hill Rd","Edgefield","SC",29824,"",-81.919899,33.7600971
