name,address,city,state,ZIP,lon,lat,notes
Adams County CI,5-75 Hobo Fork Rd,Natchez,MS,39120,-91.2185383,31.5553531,
Alderson FPC,Glen Ray Rd,Alderson,WV,24910,-80.6584454,37.7252776,
Aliceville FCI,8301-8599 Columbus Rd,Carrollton,AL,35447,-88.1669569,33.1440553,
Allenwood FCC,Main Access Rd,Allenwood,PA,17810,41.1284557,-76.9123006,
Ashland FCI,573-805 Summitt Rd,Ashland,KY,41102,38.4362619,-82.7013445,
Atlanta RRM,715-731 Georgia 42 Spur,Atlanta,GA,30315,33.7118817,-84.3639064,
Atlanta USP,601 McDonough Blvd SE,Atlanta,GA,30315,33.711463,-84.371153,
Atwater USP,1 Federal Way,Atwater,CA,95301,37.3830994,-120.559094,
Baltimore RRM,2701 Technology Dr,Annapolis Junction,MD,20701,39.1202723,-76.776849,
Bastrop FCI,1341 Hwy 95 N,Bastrop,TX,78602,30.192915,-97.3074639,
Beaumont FCC,3886 Knauth Rd,Beaumont,TX,77705,29.9635234,-94.0778589,
Beckley FCI,702 Industrial Dr,Beaver,WV,25813,37.8082921,-81.1255574,
Bennettsville FCI,696 County Road 482,Bennettsville,SC,29512,34.6738763,-79.7246075,
Berlin FCI,1 Success Loop Rd,Berlin,NH,3570,44.5225497,-71.1376119,
Big Sandy USP,Honeybranch Industrial Park Rd,Inez,KY,41224,37.8424614,-82.5366783,
Big Spring CI,3601-3649 Rickabaugh Dr,Big Spring,TX,79720,32.2263435,-101.5283006,
Big Spring FCI,3711 Wright Ave,Big Spring,TX,79720,32.2212381,-101.5074921,
Brooklyn MDC,80-100 29th St,Brooklyn,NY,11232,40.660221,-74.0035683,
Bryan FPC,1100-1120 Ursuline Ave,Bryan,TX,77803,30.6760107,-96.3613844,
Butner FCC,2 Old 75 Hwy,Butner,NC,27509,36.1382126,-78.7994492,
Canaan USP,3057A Easton Turnpike,Waymart,PA,18472,41.567631,-75.4083431,
Carswell FMC,1719 Meandering Rd,Fort Worth,TX,76127,32.7853804,-97.4197197,
Central Office HQ,320 1st St NW,Washington,DC,20534,38.893824,-77.0122464,
