"Month","Date","Year","NAME","ADDL.CO.INFO","GeoAddress","City","State","lon","lat"
12,31,1990,"ARIZONA DEPT OF CORRECTIONS","PERRYVILLE COMPLEX","CANINE UNIT, 2014 N CITRUS ROAD, GOODYEAR, AZ 85395","GOODYEAR","AZ",-112.4442082,33.4646342
12,31,1990,"ADLERHORST INTERNATIONAL INC",NA,"3951 VERNON AVENUE, JURUPA VALLEY, CA 92509","JURUPA VALLEY","CA",-117.466858,34.016224
5,15,1991,"MONTGOMERY COUNTY","CORRECTIONAL FACILITY"," 60 EAGLEVILLE ROAD, EAGLEVILLE, PA 19403","EAGLEVILLE","PA",-75.4225258,40.1588174
3,1,1991,"ARIZONA DEPT OF CORRECTIONS",NA,"1601 W. JEFFERSON, PHOENIX, AZ 85007","PHOENIX","AZ",-112.094175,33.4467051
3,1,1991,"(B6)",NA,"TEMPLE UNIV SCHOOL OF MEDICINE, 3500 N BROAD STREET, PHILADELPHIA, PA 19140","PHILADELPHIA","PA",-75.1522838,40.0063511
3,1,1991,"ALLEGHENY COUNTY POLICE","NARCOTIC DETECTION K-9 UNIT","PITTSBURGH INTERNATIONAL AIRPORT, 1 COMMERCIAL ARRIVALS, PITTSBURGH, PA 15231","PITTSBURGH","PA",-80.2352913,40.495309
3,1,1991,"28 SECURITY FORCES SQUADRON",NA,"2740 EAKER DRIVE, SUITE 324, ELLSWORTH AFB, SD 57706","ELLSWORTH AFB","SD",-103.0760987,44.1423911
2,21,1990,"ARIZONA DEPT OF CORRECTIONS","DOUGLAS COMPLEX -CANINE UNIT","PO DRAWER 3867, 6911 N. BDI BLVD., DOUGLAS, AZ 85607","DOUGLAS","AZ",-109.6001474,31.4455003
2,21,1990,"ALTAMONTE SPRINGS POLICE DEPT","ATTN: (B6)","225 NEWBURYPORT AVENUE, ALTAMONTE SPRINGS, FL 32701","ALTAMONTE SPRINGS","FL",-81.359098,28.664814
2,14,1989,"ANNE BATES LEACH EYE HOSPITAL,ANNE BATES LEACH EYE HOSPITAL",NA,"ATTN PHARMACY DEPARTMENT, 900 NW 17TH ST, MIAMI, FL 33136","MIAMI","FL",-80.2106781,25.7909979
6,26,1991,"ALAMOSA SHERIFF'S DEPARTMENT",NA," 1315 17TH STREET, ALAMOSA, CO 81101","ALAMOSA","CO",-105.8764054,37.4547191
3,2,1989,"(B6)","ANESTHESIA C/O PHARMACY DEPT","U OF I HOSPITALS AND CLINICS, 200 HAWKINS DRIVE, RCP RM 6073-1, IOWA CITY, IA 52242","IOWA CITY","IA",-91.5487099,41.659363
1,23,1986,"MAKOR DETECTION DOGS","MAKOR K9 INTERNATIONAL LLC"," 3078 ENCANTO DRIVE, NAPA, CA 94558","NAPA","CA",-122.318429,38.339182
5,26,1988,"BOCA RATON POLICE DEPARTMENT",NA,"100 NW 2ND AVENUE, BOCA RATON, FL 33432","BOCA RATON","FL",-80.0889174,26.3518404
